Species,Order,Family
Acanthochromis_polyacanthus,Ovalentaria,Pomacentridae
Acanthopagrus_latus,Eupercaria,Sparidae
Ameiurus_melas,Siluriformes,Ictaluridae
Albula_goreensis,Albuliformes,Albulidae
Alosa_alosa,Clupeiformes,Alosidae
Alosa_sapidissima,Clupeiformes,Alosidae
Amphiprion_ocellaris,Ovalentaria,Pomacentridae
Anabas_testudineus,Anabantiformes,Anabantidae
Anguilla_anguilla,Anguilliformes,Anguillidae
Anoplopoma_fimbria,Perciformes,Anoplopomatidae
Archocentrus_centrarchus,Cichliformes,Cichlidae
Astatotilapia_calliptera,Cichliformes,Cichlidae
Astyanax_mexicanus,Characiformes,Characidae
Betta_splendens,Anabantiformes,Osphronemidae
Brienomyrus_brachyistius,Osteoglossiformes,Mormyridae
Carassius_auratus,Cypriniformes,Cyprinidae
Carassius_carassius,Cypriniformes,Cyprinidae
Carassius_gibelio,Cypriniformes,Cyprinidae
Centropristis_striata,Perciformes,Serranidae
Chaenocephalus_aceratus,Perciformes,Channichthyidae
Chanos_chanos,Gonorynchiformes,Chanidae
Chelmon_rostratus,Acanthuriformes,Chaetodontidae
Cheilinus_undulatus,Eupercaria,Labridae
Clarias_gariepinus,Siluriformes,Clariidae
Corythoichthys_intestinalis,Syngnathiformes,Syngnathidae
Clupea_harengus,Clupeiformes,Clupeidae
Collichthys_lucidus,Eupercaria,Sciaenidae
Conger_conger,Anguilliformes,Congridae
Coregonus_clupeaformis,Salmoniformes,Salmonidae
Cottoperca_gobio,Perciformes,Bovichtidae
Ctenopharyngodon_idella,Cypriniformes,Xenocyprididae
Cyclopterus_lumpus,Perciformes,Cyclopteridae
Cynoglossus_semilaevis,Pleuronectiformes,Cynoglossidae
Cyprinus_carpio,Cypriniformes,Cyprinidae
Dallia_pectoralis,Esociformes,Umbridae
Danio_aesculapii,Cypriniformes,Danionidae
Danio_rerio,Cypriniformes,Danionidae
Denticeps_clupeoides,Clupeiformes,Denticipitidae
Dissostichus_eleginoides,Perciformes,Nototheniidae
Doryrhamphus_excisus,Syngnathiformes,Syngnathidae
Dunckerocampus_dactyliophorus,Syngnathiformes,Syngnathidae
Echeneis_naucrates,Carangiformes,Echeneidae
Electrophorus_electricus,Gymnotiformes,Gymnotidae
Epinephelus_lanceolatus,Perciformes,Epinephelidae
Esox_lucius,Esociformes,Esocidae
Etheostoma_cragini,Perciformes,Percidae
Etheostoma_spectabile,Perciformes,Percidae
Fundulus_heteroclitus,Cyprinodontiformes,Fundulidae
Gadus_chalcogrammus,Gadiformes,Gadidae
Gadus_morhua,Gadiformes,Gadidae
Gambusia_affinis,Cyprinodontiformes,Poeciliidae
Gasterosteus_aculeatus,Perciformes,Gasterosteidae
Girardinichthys_multiradiatus,Cyprinodontiformes,Goodeidae
Gymnothorax_javanicus,Anguilliformes,Muraenidae
Gouania_willdenowi,Gobiesociformes,Gobiesocidae
Hemibagrus_wyckioides,Siluriformes,Bagridae
Hippocampus_zosterae,Syngnathiformes,Syngnathidae
Hippoglossus_hippoglossus,Pleuronectiformes,Pleuronectidae
Hippoglossus_stenolepis,Pleuronectiformes,Pleuronectidae
Hypomesus_transpacificus,Osmeriformes,Osmeridae
Ictalurus_furcatus,Siluriformes,Ictaluridae
Ictalurus_punctatus,Siluriformes,Ictaluridae
Kryptolebias_marmoratus,Cyprinodontiformes,Rivulidae
Labeo_rohita,Cypriniformes,Cyprinidae
Lampris_incognitus,Lampriformes,Lampridae
Larimichthys_crocea,Eupercaria,Sciaenidae
Lates_calcarifer,Carangiformes,Latidae
Lepisosteus_oculatus,Lepisosteiformes,Lepisosteidae
Mastacembelus_armatus,Synbranchiformes,Mastacembelidae
Maylandia_zebra,Cichliformes,Cichlidae
Megalobrama_amblycephala,Cypriniformes,Xenocyprididae
Megalops_atlanticus,Elopiformes,Megalopidae
Megalops_cyprinoides,Elopiformes,Megalopidae
