Orthogroup,arity
OG0000243,3
OG0000348,3
OG0000385,3
OG0000454,3
OG0000460,3
OG0000479,3
OG0000546,3
OG0000762,3
OG0000809,3
OG0000853,3
OG0000943,3
OG0001037,3
OG0001120,3
OG0001196,3
OG0001257,3
OG0001287,3
OG0001448,3
OG0001509,3
OG0001547,3
OG0001663,3
OG0001676,3
OG0001781,3
OG0001823,3
OG0002084,3
OG0002108,3
OG0002113,3
OG0002300,3
OG0002454,3
OG0002521,3
OG0002545,3
OG0002681,3
OG0002718,3
OG0002745,3
OG0002859,3
OG0003003,3
OG0003321,3
OG0003376,3
OG0003603,3
OG0003637,3
OG0003642,3
OG0003732,3
OG0003806,3
OG0003815,3
OG0004038,3
OG0004072,3
OG0005761,3
OG0006051,3
OG0006328,3
OG0006758,3
OG0007270,3
OG0007293,3
OG0007347,3
OG0007584,3
OG0007789,3
OG0007954,3
OG0008369,3
OG0008574,3
OG0010651,3
OG0011063,3
OG0011077,3
OG0011512,3
OG0011822,3
OG0012202,3
OG0012365,3
OG0012467,3
OG0012613,3
OG0012978,3
OG0013361,3
OG0013516,3
OG0013979,3
OG0000058,3
OG0000107,3
OG0000135,3
OG0000170,3
OG0000195,3
OG0000233,3
OG0000236,3
OG0000240,3
OG0000295,3
OG0004372,3
OG0004912,3
OG0004928,3
OG0005097,3
OG0005130,3
OG0005697,3
OG0009762,3
OG0009887,3
OG0009939,3
OG0010097,3
OG0010204,3
OG0001120,4
OG0001509,4
OG0001663,4
OG0000236,4
OG0001663,5
OG0000236,5
OG0001663,6
OG0001663,7
