Number of species	143
Number of genes	4323531
Number of genes in orthogroups	4243938
Number of unassigned genes	79593
Percentage of genes in orthogroups	98.2
Percentage of unassigned genes	1.8
Number of orthogroups	40940
Number of species-specific orthogroups	7427
Number of genes in species-specific orthogroups	30668
Percentage of genes in species-specific orthogroups	0.7
Mean orthogroup size	103.7
Median orthogroup size	9.0
G50 (assigned genes)	262
G50 (all genes)	254
O50 (assigned genes)	4842
O50 (all genes)	4996
Number of orthogroups with all species present	1926
Number of single-copy orthogroups	0
Date	2023-10-21
Orthogroups file	Orthogroups.tsv
Unassigned genes file	Orthogroups_UnassignedGenes.tsv
Per-species statistics	Statistics_PerSpecies.tsv
Overall statistics	Statistics_Overall.tsv
Orthogroups shared between species	Orthogroups_SpeciesOverlaps.tsv

Average number of genes per-species in orthogroup	Number of orthogroups	Percentage of orthogroups	Number of genes	Percentage of genes
<1	26899	65.7	398220	9.4
'1	10307	25.2	2039657	48.1
'2	2640	6.4	939166	22.1
'3	580	1.4	300797	7.1
'4	214	0.5	144080	3.4
'5	98	0.2	81335	1.9
'6	69	0.2	68017	1.6
'7	24	0.1	27620	0.7
'8	27	0.1	34548	0.8
'9	12	0.0	17201	0.4
'10	12	0.0	19233	0.5
11-15	30	0.1	60858	1.4
16-20	12	0.0	33680	0.8
21-50	14	0.0	61002	1.4
51-100	2	0.0	18524	0.4
101-150	0	0.0	0	0.0
151-200	0	0.0	0	0.0
201-500	0	0.0	0	0.0
501-1000	0	0.0	0	0.0
'1001+	0	0.0	0	0.0

Number of species in orthogroup	Number of orthogroups
1	7427
2	7626
3	3163
4	1690
5	999
6	693
7	514
8	393
9	309
10	289
11	218
12	188
13	179
14	129
15	105
16	113
17	85
18	90
19	67
20	67
21	52
22	45
23	54
24	47
25	48
26	52
27	30
28	32
29	38
30	44
31	26
32	37
33	23
34	34
35	23
36	27
37	26
38	24
39	26
40	19
41	19
42	26
43	23
44	25
45	22
46	30
47	30
48	22
49	27
50	19
51	17
52	19
53	34
54	32
55	19
56	18
57	24
58	35
59	31
60	23
61	16
62	21
63	18
64	19
65	8
66	11
67	13
68	15
69	13
70	15
71	9
72	16
73	11
74	13
75	18
76	20
77	14
78	11
79	13
80	22
81	13
82	18
83	20
84	18
85	14
86	20
87	21
88	18
89	18
90	21
91	18
92	25
93	24
94	23
95	15
96	26
97	25
98	19
99	24
100	28
101	29
102	28
103	19
104	33
105	18
106	23
107	25
108	30
109	32
110	26
111	32
112	29
113	27
114	18
115	29
116	28
117	33
118	55
119	44
120	38
121	45
122	37
123	54
124	55
125	52
126	62
127	60
128	63
129	68
130	67
131	74
132	75
133	83
134	109
135	82
136	118
137	130
138	153
139	161
140	185
141	207
142	234
143	282
144	342
145	439
146	530
147	711
148	893
149	1182
150	1573
151	1939
152	2103
153	1926
