Fish ID,Fish Name,Affected Structure or Process 1 superterm Name,Publication ID,Gene Symbol,tissue_system
ZDB-FISH-150901-12823,WT + MO2-alcama,eye,ZDB-PUB-090106-20,alcama,Nervous
ZDB-FISH-150901-20064,WT + MO1-alcama,pharyngeal pouch,ZDB-PUB-130213-8,alcama,Nervous
ZDB-FISH-150901-21900,WT + MO1-alcama + MO1-tp53,neuron differentiation,ZDB-PUB-090106-20,alcama,Nervous
ZDB-FISH-150901-21900,WT + MO1-alcama + MO1-tp53,retina morphogenesis in camera-type eye,ZDB-PUB-090106-20,alcama,Nervous
ZDB-FISH-150901-21900,WT + MO1-alcama + MO1-tp53,retinal ganglion cell,ZDB-PUB-090106-20,alcama,Skeletal
ZDB-FISH-150901-21900,WT + MO1-alcama + MO1-tp53,retinal neural layer,ZDB-PUB-090106-20,alcama,Skeletal
ZDB-FISH-150901-21900,WT + MO1-alcama + MO1-tp53,retinal inner nuclear layer,ZDB-PUB-090106-20,alcama,Skeletal
ZDB-FISH-150901-21900,WT + MO1-alcama + MO1-tp53,optic nerve head,ZDB-PUB-090106-20,alcama,Nervous
ZDB-FISH-150901-21900,WT + MO1-alcama + MO1-tp53,integument,ZDB-PUB-090106-20,alcama,Nervous
ZDB-FISH-150901-21900,WT + MO1-alcama + MO1-tp53,whole organism,ZDB-PUB-090106-20,alcama,Nervous
ZDB-FISH-150901-21900,WT + MO1-alcama + MO1-tp53,ventral mandibular arch,ZDB-PUB-090106-20,alcama,Circulatory
ZDB-FISH-150901-21900,WT + MO1-alcama + MO1-tp53,pericardial cavity,ZDB-PUB-090106-20,alcama,Nervous
ZDB-FISH-150901-21900,WT + MO1-alcama + MO1-tp53,retinal ganglion cell layer,ZDB-PUB-090106-20,alcama,Whole organism
ZDB-FISH-150901-21900,WT + MO1-alcama + MO1-tp53,cranial nerve II,ZDB-PUB-090106-20,alcama,Skeletal
ZDB-FISH-150901-28307,WT + MO3-alcama,heart looping,ZDB-PUB-130410-19,alcama,Circulatory
ZDB-FISH-150901-3776,WT + MO4-alcama,pericardium,ZDB-PUB-101122-3,alcama,Nervous
ZDB-FISH-150901-3776,WT + MO4-alcama,swim bladder,ZDB-PUB-101122-3,alcama,Digestive
ZDB-FISH-150901-3776,WT + MO4-alcama,Meckel's cartilage,ZDB-PUB-101122-3,alcama,Nervous
