Orthogroup,orths,Gene stable ID version,Transcript stable ID,Transcript stable ID version,Gene name,Gene description,Affected Structure or Process 1 superterm Name,Phenotype Keyword Name,Phenotype Tag,Publication ID
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],amacrine cell,decreased amount,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],amacrine cell,decreased amount,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],cardiac ventricle,elongated,abnormal,ZDB-PUB-190405-15
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],ceratohyal cartilage,fused with,abnormal,ZDB-PUB-101122-3
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],cranial nerve II,aplastic,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],cranial nerve II,aplastic,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],cranial nerve II,decreased thickness,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],cranial nerve II,decreased thickness,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],cranial nerve II,aplastic,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],cranial nerve II,aplastic,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],cranial nerve II,decreased thickness,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],cranial nerve II,decreased thickness,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],cranial nerve II,aplastic,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],cranial nerve II,aplastic,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],cranial nerve II,decreased thickness,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],cranial nerve II,decreased thickness,abnormal,ZDB-PUB-090106-20
OG0001823,ENSDARG00000116648,ENSDARG00000116648.1,ENSDART00000192702,ENSDART00000192702.1,alcama,activated leukocyte cell adhesion molecule a [Source:NCBI gene;Acc:30194],eye,decreased size,abnormal,ZDB-PUB-090106-20
